,V_p,A_p,theta,airspeed
0,1905.0,1797.0,-0.21288,12.0
1,1902.0,1794.0,-0.207084,12.0
2,1907.0,1795.0,-0.202117,12.0
3,1907.0,1802.0,-0.197993,12.0
4,1905.0,1800.0,-0.194854,12.0
5,1909.0,1800.0,-0.192143,12.0
6,1900.0,1792.0,-0.188773,12.0
7,1914.0,1808.0,-0.184386,12.0
8,1914.0,1811.0,-0.177289,12.0
9,1910.0,1814.0,-0.169529,12.0
10,1914.0,1818.0,-0.16432,12.0
11,1912.0,1816.0,-0.159136,12.0
12,1919.0,1821.0,-0.153656,12.0
13,1919.0,1824.0,-0.148382,12.0
14,1923.0,1832.0,-0.141619,12.0
15,1916.0,1827.0,-0.132697,12.0
16,1927.0,1838.0,-0.125021,12.0
17,1922.0,1841.0,-0.120289,12.0
18,1929.0,1845.0,-0.114869,12.0
19,1925.0,1848.0,-0.108481,12.0
20,1929.0,1857.0,-0.100558,12.0
21,1936.0,1862.0,-0.089435,12.0
22,1934.0,1866.0,-0.078136,12.0
23,1933.0,1872.0,-0.071223,12.0
24,1932.0,1875.0,-0.064487,12.0
25,1933.0,1879.0,-0.05695,12.0
26,1937.0,1886.0,-0.048396,12.0
27,1936.0,1887.0,-0.040296,12.0
28,1935.0,1896.0,-0.031227,12.0
29,1934.0,1896.0,-0.023284,12.0
30,1936.0,1898.0,-0.015121,12.0
31,1931.0,1904.0,-0.009031,12.0
32,1938.0,1906.0,-0.003484,12.0
33,1934.0,1906.0,0.001992,12.0
34,1938.0,1914.0,0.010097,12.0
35,1937.0,1917.0,0.017103,12.0
36,1935.0,1920.0,0.022026,12.0
37,1934.0,1928.0,0.028857,12.0
38,1937.0,1933.0,0.038816,12.0
39,1934.0,1940.0,0.050268,12.0
40,1934.0,1944.0,0.060591,12.0
41,1930.0,1949.0,0.069405,12.0
42,1926.0,1954.0,0.078894,12.0
43,1919.0,1961.0,0.087135,12.0
44,1917.0,1964.0,0.096816,12.0
45,1918.0,1967.0,0.106728,12.0
46,1914.0,1971.0,0.1146,12.0
47,1909.0,1978.0,0.123454,12.0
48,1903.0,1980.0,0.132906,12.0
49,1900.0,1978.0,0.140465,12.0
50,1903.0,1980.0,0.142858,12.0
51,1903.0,1985.0,0.145059,12.0
52,1899.0,1993.0,0.149391,12.0
53,1899.0,1996.0,0.157694,12.0
54,1890.0,1991.0,0.16589,12.0
55,1892.0,2002.0,0.171889,12.0
56,1890.0,2004.0,0.178554,12.0
57,1888.0,2005.0,0.186472,12.0
58,1888.0,2011.0,0.192951,12.0
59,1882.0,2017.0,0.199658,12.0
60,1875.0,2020.0,0.20982,12.0
61,1873.0,2024.0,0.219872,12.0
62,1870.0,2027.0,0.228374,12.0
63,1865.0,2026.0,0.236514,12.0
64,1863.0,2035.0,0.242062,12.0
65,1864.0,2036.0,0.24751,12.0
66,1851.0,2027.0,0.251501,12.0
67,1853.0,2041.0,0.256535,12.0
68,1848.0,2045.0,0.265751,12.0
69,1841.0,2040.0,0.27529,12.0
70,1834.0,2042.0,0.281947,12.0
71,1838.0,2045.0,0.287737,12.0
72,1831.0,2046.0,0.292885,12.0
73,1829.0,2046.0,0.296715,12.0
74,1832.0,2049.0,0.300037,12.0
75,1823.0,2040.0,0.303236,12.0
76,1831.0,2050.0,0.307343,12.0
77,1821.0,2051.0,0.312016,12.0
78,1818.0,2049.0,0.315501,12.0
79,1822.0,2053.0,0.318957,12.0
80,1824.0,2054.0,0.322997,12.0
81,1815.0,2046.0,0.327214,12.0
82,1818.0,2051.0,0.332348,12.0
83,1821.0,2045.0,0.334059,12.0
84,1820.0,2041.0,0.332843,12.0
85,1819.0,2035.0,0.332371,12.0
86,1815.0,2031.0,0.335517,12.0
87,1808.0,2024.0,0.338577,12.0
88,1819.0,2034.0,0.339005,12.0
89,1819.0,2026.0,0.337057,12.0
90,1812.0,2025.0,0.336088,12.0
91,1821.0,2025.0,0.33681,12.0
92,1818.0,2029.0,0.334079,12.0
93,1827.0,2029.0,0.332334,12.0
94,1821.0,2026.0,0.331513,12.0
95,1815.0,2023.0,0.333656,12.0
96,1814.0,2014.0,0.335033,12.0
97,1823.0,2031.0,0.337023,12.0
98,1823.0,2028.0,0.337575,12.0
99,1814.0,2021.0,0.336469,12.0
100,1820.0,2018.0,0.33513,12.0
101,1822.0,2025.0,0.332021,12.0
102,1830.0,2024.0,0.329002,12.0
103,1827.0,2022.0,0.32799,12.0
104,1827.0,2020.0,0.32686,12.0
105,1826.0,2008.0,0.325526,12.0
106,1826.0,2016.0,0.320524,12.0
107,1832.0,2013.0,0.316234,12.0
108,1836.0,2019.0,0.312702,12.0
109,1835.0,2012.0,0.307772,12.0
110,1839.0,2011.0,0.305588,12.0
111,1837.0,2007.0,0.304663,12.0
112,1837.0,2005.0,0.300623,12.0
113,1839.0,2005.0,0.293159,12.0
114,1850.0,2006.0,0.284801,12.0
115,1848.0,2008.0,0.277606,12.0
116,1848.0,2010.0,0.276539,12.0
117,1849.0,2008.0,0.276235,12.0
118,1847.0,2010.0,0.274368,12.0
119,1848.0,2013.0,0.273046,12.0
120,1845.0,2005.0,0.270158,12.0
121,1849.0,2009.0,0.267071,12.0
122,1847.0,2008.0,0.263241,12.0
123,1849.0,2005.0,0.257564,12.0
124,1859.0,2011.0,0.252529,12.0
125,1860.0,2006.0,0.248126,12.0
126,1847.0,1995.0,0.24439,12.0
127,1860.0,2004.0,0.241652,12.0
128,1860.0,2004.0,0.239375,12.0
129,1864.0,1998.0,0.237442,12.0
130,1859.0,1997.0,0.232995,12.0
131,1863.0,1994.0,0.226376,12.0
132,1872.0,1997.0,0.221901,12.0
133,1867.0,1996.0,0.219087,12.0
134,1867.0,1994.0,0.216334,12.0
135,1867.0,1990.0,0.213795,12.0
136,1875.0,1994.0,0.211082,12.0
137,1874.0,1992.0,0.208196,12.0
138,1871.0,1987.0,0.20411,12.0
139,1875.0,1983.0,0.198191,12.0
140,1883.0,1986.0,0.193859,12.0
141,1879.0,1984.0,0.190175,12.0
142,1883.0,1982.0,0.186405,12.0
143,1879.0,1970.0,0.181095,12.0
144,1889.0,1975.0,0.175305,12.0
145,1886.0,1972.0,0.170209,12.0
146,1888.0,1972.0,0.163732,12.0
147,1885.0,1966.0,0.158798,12.0
148,1890.0,1970.0,0.155969,12.0
149,1892.0,1971.0,0.151855,12.0
150,1889.0,1957.0,0.148511,12.0
151,1890.0,1966.0,0.144441,12.0
152,1897.0,1964.0,0.140474,12.0
153,1900.0,1963.0,0.137258,12.0
154,1901.0,1963.0,0.133057,12.0
155,1900.0,1959.0,0.128276,12.0
156,1903.0,1954.0,0.123845,12.0
157,1901.0,1954.0,0.119109,12.0
158,1908.0,1953.0,0.113482,12.0
159,1913.0,1951.0,0.107437,12.0
160,1909.0,1949.0,0.10332,12.0
161,1910.0,1945.0,0.099044,12.0
162,1915.0,1944.0,0.093631,12.0
163,1914.0,1940.0,0.087853,12.0
164,1919.0,1939.0,0.081523,12.0
165,1925.0,1935.0,0.073909,12.0
166,1924.0,1933.0,0.067719,12.0
167,1923.0,1930.0,0.063386,12.0
168,1926.0,1928.0,0.058939,12.0
169,1918.0,1930.0,0.054377,12.0
